Data A1 A2 B1 B2 C1
Adjec\-tival 0 0.732493407559332 1.20709773467992 1.30821559392988 2.88195511835229
Adverbial 3.86697602474865 4.76120714913566 13.2780750814791 18.7510901796616 19.4051644635721
Other 0 1.098740111339 2.01182955779986 1.09017966160823 1.53704272978789
{Proper nouns} 0 0 0 0.436071864643293 0.192130341223486
Non-lexical 0 0.366246703779666 1.60946364623989 1.96232339089482 2.30556409468183
Inter\-jections 0 0.732493407559332 0 0.218035932321647 0.768521364893944
Nominal 0 0.732493407559332 2.41419546935984 1.96232339089482 2.11343375345835
