Data           (Verbal)          {Other verbal}      {Support verb}       {Particle verbs}     {Reflexive verbs}   
{A1 rec.}     11.0259981429898  1.45078922934076   2.61142061281337  4.64252553389044  2.32126276694522
{A1 prod.}     7.73395204949729                 0   1.93348801237432  5.80046403712297                 0
{A2 rec.}     16.3615404638249  2.35507021827782   1.85926596179828  8.67657448839198  3.47062979535679
{A2 prod.}     9.88866100205098    1.098740111339   1.46498681511866  4.76120714913566  2.56372692645766
{B1 rec.}     19.8150146237522  2.51080664753025   2.44294700840781  10.8575422595903  4.00371870822391
{B1 prod.}     24.5443206051583   4.4260250271597   2.81656138091981  10.8638796121193  6.43785458495956
{B2 rec.}     26.0294299493014  3.46234697662916   2.90589835538519  14.6531470260913  5.00803759119575
{B2 prod.}     24.4200244200244  2.83446712018141   3.48857491714635  11.9919762776906  6.10500610500611
{C1 rec.}     24.7584434525385  3.64613656545697   2.76400675123351   12.820286633381  5.52801350246702
{C1 prod.}      26.898247771288  3.26621580079926   3.84260682446972  13.6412542268675  6.14817091915155
